siteID,lat,lon,elev,slp,temp,sky,dpt,wx,wdr,wsp
KOTM,41.107,-92.448,256.0,1010.2,7.2,0.0,-0.6,,200.0,13.0
KOZW,42.617,-83.967,293.0,1007.11,6.7,0.0,-0.5,,260.0,13.0
KPHF,37.132,-76.493,12.0,1007.8,15.6,0.0,2.2,,250.0,15.0
KPHL,39.872,-75.241,18.0,1003.5,8.9,0.5,0.0,,240.0,12.0
KPIA,40.664,-89.693,205.0,1012.2,10.0,0.0,0.6,,190.0,3.0
KPNE,40.082,-75.011,28.0,1003.6,8.3,0.5,-1.1,,220.0,11.0
KPSF,42.433,-73.283,355.0,999.1,0.6,1.0,-1.7,,240.0,4.0
KPTW,40.233,-75.55,92.0,1003.4,7.8,0.75,-1.7,,250.0,11.0
KRBL,40.151,-122.252,104.0,1023.8,21.1,0.0,-6.7,,360.0,15.0
KRDG,40.379,-75.965,109.0,1003.3,8.3,0.75,-1.1,,260.0,13.0
KRFD,42.195,-89.097,221.0,1010.7,7.2,0.75,-2.2,,250.0,5.0
KRIC,37.505,-77.32,50.0,1007.9,16.7,0.25,0.0,,250.0,18.0
KROA,37.326,-79.975,362.0,1009.7,17.2,0.0,-2.2,,310.0,20.0
KROC,43.119,-77.672,178.0,1002.3,2.8,1.0,0.0,-RA,280.0,16.0
KRST,43.908,-92.5,403.0,1008.1,2.2,0.75,-1.7,,180.0,5.0
KSBD,34.095,-117.235,353.0,1016.26,26.0,0.0,-5.0,,0.0,0.0
KSBN,41.709,-86.317,237.0,1011.4,7.8,0.0,-1.1,,230.0,12.0
KSBY,38.34,-75.51,19.0,1006.1,nan,0.0,nan,,260.0,12.0
KEWN,35.073,-77.043,3.0,1011.8,17.8,0.0,2.2,,230.0,14.0
KFFZ,33.461,-111.728,424.0,1014.0,22.8,0.0,-6.7,,210.0,5.0
KFIG,41.049,-78.413,462.0,1005.8,5.0,0.75,-0.6,,270.0,17.0
KFWA,40.979,-85.195,248.0,1012.5,5.0,0.25,-0.6,,260.0,13.0
KFZY,43.351,-76.388,138.0,1000.5,1.7,1.0,-0.6,-SN,250.0,8.0
KGCK,37.928,-100.724,877.0,1004.5,21.7,0.0,-8.3,,190.0,21.0
KGCN,35.952,-112.147,2016.0,1016.5,13.3,0.0,-8.9,,230.0,7.0
KGED,38.689,-75.359,19.0,1005.5,13.3,0.0,1.7,,250.0,11.0
KGSO,36.098,-79.937,275.0,1010.4,17.2,0.0,0.6,,230.0,14.0
KHAI,41.967,-85.6,251.0,1009.82,7.3,0.0,-2.1,,280.0,9.0
KHUL,46.123,-67.792,150.0,996.3,1.7,1.0,-2.8,,340.0,7.0
KHWD,37.659,-122.122,21.0,1021.9,19.4,0.0,3.3,,230.0,5.0
KILN,39.428,-83.792,322.0,1014.3,7.2,0.0,-0.6,,280.0,16.0
KIMT,45.818,-88.115,349.0,1003.4,6.7,0.0,-6.1,,320.0,16.0
KIND,39.717,-86.294,241.0,1013.6,10.6,0.0,0.6,,270.0,11.0
KINL,48.566,-93.403,360.0,1004.3,2.8,0.75,-4.4,,260.0,6.0
KINT,36.134,-80.222,291.0,1010.7,18.3,0.0,-0.6,,230.0,8.0
KIPT,41.242,-76.921,164.0,1003.4,2.2,1.0,-1.1,,0.0,0.0
KISW,44.36,-89.839,307.0,1007.7,6.7,0.0,-1.7,,260.0,7.0
KIZG,43.991,-70.948,135.0,998.4,5.0,0.75,-3.3,,nan,3.0
KJAN,32.311,-90.076,91.0,1018.8,22.8,0.0,-0.6,,240.0,8.0
KJST,40.316,-78.834,694.0,1007.0,3.9,0.75,-1.7,,260.0,15.0
KLAF,40.412,-86.937,182.0,1013.4,7.8,0.0,0.6,,270.0,11.0
KLEX,38.036,-84.606,300.0,1014.5,13.3,0.0,0.6,,250.0,12.0
KLNK,40.851,-96.759,364.0,1005.8,7.8,0.0,0.6,,200.0,9.0
KLWM,42.717,-71.123,54.0,1000.0,6.1,0.5,-3.3,,240.0,14.0
KLWT,47.049,-109.467,1270.0,1012.6,-1.1,0.25,-3.9,-SN,nan,4.0
